date,day_week,special_event,6_week_lun,6_week_din,lun_ly,din_ly,din_2y,pred_lunch,pred_din,lunch_sales,dinner_sales,guest_count_lunch,guest_count_dinner,ppl_res_lun,ppl_res_din,temp_avg
7/21/2018,Saturday,,114,412,71,348,,70,350,,,109,298,0,64,67
7/22/2018,Sunday,,103,256,56,294,,50,300,,,117,272,0,31,73
7/23/2018,Monday,ly last day of hs bball tourny,55,177,68,205,,50,160,,,54,143,0,7,77
7/24/2018,Tuesday,,53,163,55,194,,55,160,,,70,182,0,37,78
7/25/2018,Wednesday,,61,190,50,229,,60,180,,,84,178,,,78
7/26/2018,Thursday,,53,213,67,272,,60,200,,,59,194,0,37,79
7/27/2018,Friday,,68,351,80,333,,75,325,,,75,261,4,4,75
7/28/2018,Saturday,,114,412,80,350,,75,325,,,64,253,12,23,73
7/29/2018,Sunday,,103,256,67,260,,60,250,,,117,245,6,19,80
7/30/2018,Monday,,55,177,69,183,,50,160,,,38,218,0,21,77
7/31/2018,Tuesday,,53,163,78,211,,60,175,,,71,199,0,53,75
8/1/2018,Wednesday,,54,176,66,216,,65,200,,,81,213,11,23,73
8/2/2018,Thursday,,62,195,85,207,,65,200,,,102,224,46,18,65
8/3/2018,Friday,100 degrees F LY,75,293,54,338,,60,300,,,39,328,0,75,69
8/4/2018,Saturday,,64,282,53,na,,60,350,,,49,314,0,34,71
8/5/2018,Sunday,,86,245,111,178,,100,150,,,93,254,8,48,72
8/6/2018,Monday,,63,186,57,193,,60,200,,,46,329,20,38,75
8/7/2018,Tuesday,,54,191,116,210,,60,200,,,59,195,20,34,77
8/8/2018,Wednesday,,54,176,60,188,,65,200,,,69,188,2,27,78
8/9/2018,Thursday,,62,195,77,260,,65,200,,,79,206,0,13,77
8/10/2018,Friday,,75,293,87,259,,60,300,,,71,331,0,50,76
8/11/2018,Saturday,,64,282,65,326,,60,350,,,54,284,0,58,69
8/12/2018,Sunday,,86,245,100,260,,100,150,,,69,230,0,36,68
8/13/2018,Monday,,63,186,82,218,,60,200,,,61,191,0,26,75
8/14/2018,Tuesday,,54,191,66,162,,60,200,,,41,233,0,56,75
8/15/2018,Wednesday,Tip A Cop LY and this year,54,176,74,265,,65,260,,,111,246,25,65,73
8/16/2018,Thursday,,62,195,88,184,,65,200,,,59,170,0,12,71
8/17/2018,Friday,,75,293,69,270,,60,300,,,55,272,0,73,66
8/18/2018,Saturday,,64,282,57,221,,60,350,,,84,261,0,64,69
8/19/2018,Sunday,ly solar eclipse EVE,86,245,134,356,,100,150,,,82,188,4,13,72
8/20/2018,Monday,ly solar eclipse,63,186,162,307,,60,200,,,42,263,0,54,69
8/21/2018,Tuesday,,54,191,62,294,,60,200,,,83,229,23,41,77
8/22/2018,Wednesday,,54,176,65,249,,65,200,,,67,208,0,50,75
8/23/2018,Thursday,,62,195,60,295,,65,200,,,57,183,0,26,62
8/24/2018,Friday,,75,293,72,262,,60,300,,,82,210,2,44,63
8/25/2018,Saturday,,64,282,91,258,,60,350,,,77,279,0,73,61
8/26/2018,Sunday,,86,245,79,301,,100,150,,,86,260,8,84,65
8/27/2018,Monday,,63,186,60,269,,60,200,,,79,138,2,20,69
8/28/2018,Tuesday,,54,191,54,162,,60,200,,,55,160,6,13,71
8/29/2018,Wednesday,,54,176,59,193,,65,200,,,62,157,0,8,70
8/30/2018,Thursday,,62,195,67,287,,65,200,,,61,188,0,20,65
8/31/2018,Friday,,75,293,70,316,,60,300,,,78,250,25,65,70
9/1/2018,Saturday,(OSU Football Game LY),90,375,62,393,,60,265,949.65,4495.05,57,241,44,4,63
9/2/2018,Sunday,,107,280,116,294,,100,295,1321.37,4155.58,81,231,50,0,67
9/3/2018,Monday,Labor Day/ OSU Coaches Cater,58,200,63,234,,60,230,1169.32,4675.81,78,227,20,6,67
9/4/2018,Tuesday,,56,200,82,188,,60,170,835.35,2249.96,59,120,28,10,65
9/5/2018,Wednesday,,53,210,71,181,,60,170,766.55,3859.03,45,205,50,12,71
9/6/2018,Thursday,,70,250,42,177,,60,170,628.42,3230.87,36,178,13,0,70
9/7/2018,Friday,,80,300,56,266,,60,300,1351.01,4964.39,65,257,42,0,67
9/8/2018,Saturday,OSU Football Game- first of season CATERING AND SNACK PACKS,90,375,67,291,,70,350,2527.7,7978.93,76,527,44,14,68
9/9/2018,Sunday,,107,280,86,208,,85,200,1585.41,4809.91,106,273,68,9,64
9/10/2018,Monday,OSU Coaches Cater,58,200,24,164,,60,170,905.95,3766.56,36,175,24,0,67
9/11/2018,Tuesday,,56,200,43,216,,60,170,1070.52,3728.16,56,200,45,14,61
9/12/2018,Wednesday,,53,210,49,,,60,170,700.85,,55,151,19,0,61
9/13/2018,Thursday,,70,250,83,204,,60,170,626.91,4142.49,46,231,38,0,59
9/14/2018,Friday,,80,300,55,336,,60,330,1390.36,5498.24,77,290,37,0,59
9/15/2018,Saturday,OSU Football Away,90,375,48,395,,60,390,1741.36,7897.93,88,425,117,25,57
9/16/2018,Sunday,OSU Move in Weekend,107,280,199,384,,170,380,3566.77,6781.73,212,368,64,0,61
9/17/2018,Monday,Welcome Week/ OSU Coaches Cater,58,200,61,190,,60,170,687.3,4730.1,47,232,20,0,57
9/18/2018,Tuesday,Welcome Week,56,200,70,215,,60,180,724.36,4377.19,50,231,65,7,58
9/19/2018,Wednesday,Welcome Week,53,210,56,210,,60,180,661.61,4091.2,47,214,4,0,59
9/20/2018,Thursday,Welcome Week,70,250,61,199,,60,180,1058.51,4937.99,54,248,36,0,60
9/21/2018,Friday,Welcome Week,80,300,76,331,,60,330,3409.42,7101.73,73,367,206,4,62
9/22/2018,Saturday,Welcome Week/ OSU Football Home,90,375,112,448,,100,400,871.9,7955.45,265,440,108,0,66
9/23/2018,Sunday,Welcome Week,107,280,121,284,,120,280,1762.1,5965.49,110,345,72,3,57
9/24/2018,Monday,LEO/ OSU Coaches Cater,58,200,44,133,,60,160,1384.34,3168.33,49,186,23,5,58
9/25/2018,Tuesday,,56,200,54,186,,60,160,377.54,3286.24,32,189,25,0,65
9/26/2018,Wednesday,,53,210,23,182,,60,160,342.31,2501.45,31,138,12,0,65
9/27/2018,Thursday,,70,250,51,155,,60,160,443.24,3768.48,31,206,101,0,68
9/28/2018,Friday,,80,300,53,318,,60,300,1236.35,6281.73,92,331,182,18,67
9/29/2018,Saturday,OSU Football Away,90,375,100,448,,75,360,1684.03,6385.48,84,366,87,0,60
9/30/2018,Sunday,,107,280,168,265,,120,260,2064.31,5100.13,134,290,62,0,63
10/1/2018,Monday,OSU Coaches Drop Off Cater,55,199,48,155,,60,160,,,55,130,0,11,67
